number,name_full,name,suffix,canonization,birth,start,end,start_age,end_age,tenure_years,cardinalate,years_as_cardinal,canonization,Personal Name,Place of Birth,Modern-day country of birth,Comments
136,John XIV,John,14,,0940-06-30,0983-12-01,0984-08-20,43.421,44.139,0.719,0981-06-30,2.421,,Pietro Canepanova,Pavia,Italy,Fourth pope not to use his personal name.
137,John XV,John,15,,0950-06-30,0985-08-20,0996-04-01,35.139,45.754,10.615,Unknown,Unknown,, ,Rome,Italy,The first pope to formally canonize a saint. 
138,Gregory V,Gregory,5,,0972-06-30,0996-05-03,0999-02-18,23.843,26.634,2.791,0995-06-30,0.843,,Bruno of Carinthia,"Germany, Holy Roman Empire",Austria,"the first official German pope and fifth not to use his personal name (Bruno). Henceforth, this decision became tradition among future popes. "
139,Sylvester II,Sylvester,2,,0940-06-30,0999-04-02,1003-05-12,58.757,62.867,4.111,0998-06-30,0.757,,Gerbert d'Aurillac,Belliac or Auvergne in France,France,the first French (Occitan) pope. He is said to be the first in Christian Europe (outside of Al-Andalus) to introduce the decimal numeral system using the Hindu-Arabic numeral system. 
140,John XVII,John,17,,0955-06-30,1003-05-16,1003-11-06,47.878,48.351,0.473,0996-06-30,6.878,,Giovanni Sicco ,"Rome, Papal States",Italy,NA
141,John XVIII,John,18,,0965-06-30,1003-12-25,1009-07-18,38.486,44.05,5.564,1000-06-30,3.486,,Giovanni Fasano,"Rapagnano, Papal States",Italy,First pope born after the Papal States became a state of the Holy Roman Empire in 962.
142,Sergius IV,Sergius,4,,0970-06-30,1009-07-31,1012-05-12,39.086,41.867,2.781,1004-06-30,5.086,,Pietro Martino Boccadiporco,"Rome, Papal States, Holy Roman Empire",Italy,NA
143,Benedict VIII,Benedict,8,,0980-06-30,1012-05-18,1024-04-09,31.884,43.776,11.892,1001-06-30,10.884,,"Theophylactus II, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,Brother of John XIX
144,John XIX,John,19,,0975-06-30,1024-05-14,1032-10-06,48.873,57.268,8.395,Unknown,Unknown,,"Romanus, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,Brother of Benedict VIII. 
145,Benedict IX,Benedict,9,,1012-06-30,1032-10-21,1044-12-31,20.309,32.503,12.194,Unknown,Unknown,,"Theophylactus III, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,first term. 
146,Sylvester III,Sylvester,3,,1000-06-30,1045-01-13,1045-03-10,44.537,44.695,0.158,1044-06-30,0.537,,Giovanni dei Crescenzi Ottaviani ,"Rome, Papal States, Holy Roman Empire",Italy,Validity of election questioned; considered antipope; deposed at the Council of Sutri. 
147,Benedict IX,Benedict,9,,1012-06-30,1045-03-10,1045-05-01,32.695,32.837,0.142,Unknown,Unknown,,"Theophylactus III, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,Second term; deposed at the Council of Sutri.
148,Gregory VI,Gregory,6,,1000-06-30,1045-05-05,1046-12-20,44.848,46.473,1.624,1012-06-30,32.848,,Giovanni Graziano Pierleoni,"Rome, Papal States, Holy Roman Empire",Italy,Deposed at the Council of Sutri. 
149,Clement II,Clement,2,,0967-06-30,1046-12-24,1047-10-09,79.484,80.276,0.792,0996-06-30,50.484,,Suidger von Morsleben-Hornburg ,"Hornburg, Duchy of Saxony, Holy Roman Empire",Germany,NA
150,Benedict IX,Benedict,9,,1012-06-30,1047-11-08,1048-07-17,35.356,36.048,0.691,Unknown,Unknown,,"Theophylactus III, Conti di Tusculum","Rome, Papal States, Holy Roman Empire",Italy,Third term; deposed and excommunicated.
