number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure,Personal Name,Place of Birth,Modern-day country of birth,Comments
97,Stephen IV,Stephen,4,Saint,0770-06-30T00:00:00Z,0816-06-22T00:00:00Z,0817-01-24T00:00:00Z,45.9794661190965,46.570841889117,0.591780821917808,,"Rome, Papal States",Italy,
98,Paschal I,Paschal,1,Saint,0775-06-30T00:00:00Z,0817-01-25T00:00:00Z,0824-02-11T00:00:00Z,41.574264202601,48.6187542778919,7.04644808743169,,Rome,Italy,
99,Eugene II,Eugene,2,NA,0780-06-30T00:00:00Z,0824-05-08T00:00:00Z,0827-08-27T00:00:00Z,43.854893908282,47.1567419575633,3.30327868852459,,Rome,Italy,
100,Valentine,Valentine,1,NA,0780-06-30T00:00:00Z,0827-08-31T00:00:00Z,0827-10-10T00:00:00Z,47.1676933607118,47.2772073921971,0.109289617486339,,Rome,Italy,
101,Gregory IV,Gregory,4,NA,0790-06-30T00:00:00Z,0827-12-20T00:00:00Z,0844-01-25T00:00:00Z,37.4729637234771,53.5715263518138,16.0983606557377,,Rome,Italy,
102,Sergius II,Sergius,2,NA,0790-06-30T00:00:00Z,0844-01-25T00:00:00Z,0847-01-27T00:00:00Z,53.5715263518138,56.5776865160849,3.00547945205479,,Rome,Italy,
103,Leo IV,Leo,4,Saint,0790-06-30T00:00:00Z,0847-04-10T00:00:00Z,0855-07-17T00:00:00Z,56.7775496235455,65.0458590006845,8.26775956284153,,Rome,Italy,
104,Benedict III,Benedict,3,NA,0810-06-30T00:00:00Z,0855-09-29T00:00:00Z,0858-04-17T00:00:00Z,45.2484599589322,47.7973990417522,2.54794520547945,,Rome,Italy,
105,Nicholas I,Nicholas,1,Saint,0800-06-30T00:00:00Z,0858-04-24T00:00:00Z,0867-11-13T00:00:00Z,57.8151950718686,67.3702943189596,9.55464480874317,,Rome,Italy,
106,Adrian II,Adrian,2,NA,0792-06-30T00:00:00Z,0867-12-14T00:00:00Z,0872-12-14T00:00:00Z,75.4551676933607,80.4572210814511,5,,Rome,Italy,
107,John VIII,John,8,NA,0820-06-30T00:00:00Z,0872-12-14T00:00:00Z,0882-12-16T00:00:00Z,52.4572210814511,62.4613278576318,10.0054794520548,,Rome,Italy,First pope to be assassinated. 
