number,name_full,suffix,canonization,birth,start,end,age_start,age_end,tenure,gap_from_previous
82,John V,5,NA,0635-06-30T00:00:00Z,0685-07-23T00:00:00Z,0686-08-02T00:00:00Z,50,51,1.02739726027397,42.7789185489391
204,Innocent VII,7,NA,1336-06-30T00:00:00Z,1404-10-17T00:00:00Z,1406-11-06T00:00:00Z,68,70,2.05479452054795,42.0944558521561
117,Benedict IV,4,NA,0840-06-30T00:00:00Z,0900-02-01T00:00:00Z,0903-07-30T00:00:00Z,59,63,3.49041095890411,41.7932922655715
146,Sylvester III,3,NA,1000-06-30T00:00:00Z,1045-01-13T00:00:00Z,1045-03-10T00:00:00Z,44,44,0.153424657534247,41.6755646817248
178,Gregory IX,9,NA,1145-06-30T00:00:00Z,1227-03-19T00:00:00Z,1241-08-22T00:00:00Z,81,96,14.427397260274,39.2525667351129
196,John XXII,22,NA,1244-06-30T00:00:00Z,1316-08-07T00:00:00Z,1334-12-04T00:00:00Z,72,90,18.3260273972603,39.2142368240931
215,Pius III,3,NA,1439-05-29T00:00:00Z,1503-09-22T00:00:00Z,1503-10-18T00:00:00Z,64,64,0.0710382513661202,39.0992470910335
221,Julius III,3,NA,1487-09-10T00:00:00Z,1550-02-07T00:00:00Z,1555-03-29T00:00:00Z,62,67,5.13698630136986,36.9609856262834
171,Lucius III,3,NA,1097-06-30T00:00:00Z,1181-09-01T00:00:00Z,1185-11-25T00:00:00Z,84,88,4.23287671232877,36.5420944558522
195,Clement V,5,NA,1264-06-30T00:00:00Z,1305-06-05T00:00:00Z,1314-04-20T00:00:00Z,40,49,8.87397260273973,36.5119780971937
54,Felix IV,4,Saint,0490-06-30T00:00:00Z,0526-07-12T00:00:00Z,0530-09-22T00:00:00Z,36,40,4.1972602739726,34.3600273785079
235,Urban VIII,8,NA,1568-04-05T00:00:00Z,1623-08-06T00:00:00Z,1644-07-29T00:00:00Z,55,76,20.9781420765027,32.8569472963724
124,Stephen VII,7,Saint,0880-06-30T00:00:00Z,0929-02-03T00:00:00Z,0931-02-13T00:00:00Z,48,50,2.02739726027397,31.4715947980835
103,Leo IV,4,Saint,0790-06-30T00:00:00Z,0847-04-10T00:00:00Z,0855-07-17T00:00:00Z,56,65,8.26775956284153,30.8254620123203
197,Benedict XII,12,NA,1280-06-30T00:00:00Z,1334-12-20T00:00:00Z,1342-04-25T00:00:00Z,54,61,7.34520547945206,30.4531143052704
184,Gregory X,10,Blessed,1210-06-30T00:00:00Z,1271-09-01T00:00:00Z,1276-01-10T00:00:00Z,61,65,4.35792349726776,30.0260095824778
234,Gregory XV,15,NA,1554-01-09T00:00:00Z,1621-02-09T00:00:00Z,1623-07-08T00:00:00Z,67,69,2.40821917808219,29.3196440793977
143,Benedict VIII,8,NA,0980-06-30T00:00:00Z,1012-05-18T00:00:00Z,1024-04-09T00:00:00Z,31,43,11.8934426229508,28.8542094455852
158,Victor III,3,Blessed,1026-06-30T00:00:00Z,1086-05-24T00:00:00Z,1087-09-16T00:00:00Z,59,61,1.31420765027322,28.8213552361396
205,Gregory XII,12,NA,1327-06-30T00:00:00Z,1406-11-30T00:00:00Z,1415-07-04T00:00:00Z,79,88,8.59178082191781,28.6762491444216
198,Clement VI,6,NA,1291-06-30T00:00:00Z,1342-05-07T00:00:00Z,1352-12-06T00:00:00Z,50,61,10.5835616438356,28.0465434633812
180,Innocent IV,4,NA,1195-06-30T00:00:00Z,1243-06-25T00:00:00Z,1254-12-07T00:00:00Z,47,59,11.4520547945205,26.9404517453799
157,Gregory VII,7,Saint,1015-06-30T00:00:00Z,1073-04-22T00:00:00Z,1085-05-25T00:00:00Z,57,69,12.0904109589041,26.3381245722108
