number,name_full,canonization,birth,start,end,age_start,age_end,tenure
239,Clement X,,1590-07-13T00:00:00Z,1670-04-29T00:00:00Z,1676-07-22T00:00:00Z,79.79629971868005,86.0277760665859,6.23013698630137
46,Hilary,Saint,0400-06-30T00:00:00Z,0461-11-19T00:00:00Z,0468-02-29T00:00:00Z,61.38935091069632,67.66737167772096,6.27868852459016
225,Pius V,Saint,1504-01-17T00:00:00Z,1566-01-07T00:00:00Z,1572-05-01T00:00:00Z,61.97526301019186,68.28887656830736,6.31420765027322
74,Martin I,Saint,0590-06-30T00:00:00Z,0649-07-05T00:00:00Z,0655-11-12T00:00:00Z,59.01284762863029,65.36752979185061,6.3551912568306
181,Alexander IV,,1199-06-30T00:00:00Z,1254-12-12T00:00:00Z,1261-05-25T00:00:00Z,55.45356851954524,61.90407742801016,6.44931506849315
73,Theodore I,,0610-06-30T00:00:00Z,0642-11-24T00:00:00Z,0649-05-14T00:00:00Z,32.40312942770899,38.87280368522283,6.46849315068493
67,Boniface IV,Saint,0550-06-30T00:00:00Z,0608-09-15T00:00:00Z,0615-05-08T00:00:00Z,58.21064087558266,64.85280327453678,6.64383561643836
175,Celestine III,,1106-06-30T00:00:00Z,1191-03-30T00:00:00Z,1198-01-08T00:00:00Z,84.74917349432226,91.5282312436258,6.77808219178082
211,Paul II,,1417-02-23T00:00:00Z,1464-08-30T00:00:00Z,1471-07-26T00:00:00Z,47.51637610628555,54.41863967090357,6.9041095890411
133,John XIII,,0930-06-30T00:00:00Z,0965-10-01T00:00:00Z,0972-09-06T00:00:00Z,35.25602852899101,42.18840907068592,6.93169398907104
88,Constantine,,0664-06-30T00:00:00Z,0708-03-25T00:00:00Z,0715-04-09T00:00:00Z,43.73258862262743,50.77174753759488,7.04098360655738
98,Paschal I,Saint,0775-06-30T00:00:00Z,0817-01-25T00:00:00Z,0824-02-11T00:00:00Z,41.575117901120485,48.61975263010192,7.04644808743169
119,Sergius III,,0860-06-30T00:00:00Z,0904-01-29T00:00:00Z,0911-04-14T00:00:00Z,43.57926583023608,50.78543707262983,7.2054794520548
201,Gregory XI,,1329-06-30T00:00:00Z,1370-12-30T00:00:00Z,1378-03-27T00:00:00Z,41.5011944119318,48.74022053840941,7.23835616438356
